pefamid,pweight,pagemieg,PAS1MRAG,PAS1MRG1,PAS1MRG2,PASR1MFA,PASR1MR,pasrbuyg,pasrcnmg,pasrcon,pasrcst,pasrcurg,PASRDPO1,PASRDPO2,PASRDPO3,PASRDPO4,PASRDPO5,pasrdwng,pasrfnmg,pasrint,pasrintg,pasrmoag,pasrmpfg,pasrmryg,pasrrntg,pasrskp,pattcrc,pattcrlm,pattcrr,pattcru,pattdif,pattlcp,pattlcr,pattpayd,pattrsa,pattrsh,pattrsl,pattrsp,pattrsr,pattstin,pattskp,pattlmlc,pbusind,pdwtyp,peducmie,pefatinc,pefgtr,pefmjsif,pefmtinc,PEXMG1A,PEXMG1F,pfcrn,pfmtypg,pfrspst,pfsz,PFSZ0017,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,pftenur,pinhert,plfchrme,plffptme,plfpdmeg,pnbearg,ppvres,pregion,pretirme,pgdrmie,pwaotpen,pwaprval,pwarppg,pwarppt,pwarrif,pwarrspl,pwastbnd,pwastdep,pwastmui,pwastoin,pwastonf,pwastrst,pwaststk,pwastvhe,pwatfs,pwatotpg,pwatotpt,pwbuseq,pwdprmor,pwdsloan,pwdstcrd,pwdstloc,pwdstodb,pwdstomr,pwdstvhn,pwdtotal,pwnetwpg,pwnetwpt,verdate
00001,4415.0772,06,,,,,2,7,,2,300000,6,2,1,2,2,2,2,,2,04,3,5,2020,2,2,1,25000,,4,,3,1,2,2,1,2,1,1,3,2,40000,2,1,3,126650,3900,02,210000,1450,1,1,3,2,4,1,2,1,2,2,2,,1,1,1,2,35,3,6,1,0,390000,23000,14000,0,310000,0,41000,0,0,31000,0,5250,62500,0,862750,853750,0,280000,0,0,24000,0,0,47000,351000,511750,502750,28/06/2021
00002,805.4285,14,,,,,,,,2,,,,,,,,,,,96,,,,,,1,50000,,4,,5,1,2,,,,2,,3,2,21000,2,9,3,23000,23000,04,0,,,2,1,3,1,2,2,2,2,1,3,,6,3,6,,12,1,1,1,0,0,0,0,0,0,0,13000,0,0,5250,0,0,0,0,18250,18250,0,0,0,0,0,0,0,0,0,18250,18250,28/06/2021
00003,1393.1613,12,,,,,,4,,2,260000,,1,2,2,2,2,9,,,96,,,,2,,1,41000,,4,,,2,2,2,2,2,1,2,3,2,,1,1,2,171200,0,02,250000,,,2,9,1,2,9,9,9,9,9,1,,1,1,2,2,24,2,2,1,0,800000,0,0,0,1000000,0,60000,0,0,75000,0,525000,36000,60000,8806000,8806000,6250000,0,0,0,0,0,0,0,0,8806000,8806000,28/06/2021
00004,216.7353,11,,,,,,5,1,2,210000,,2,2,1,2,2,2,,,96,,,,2,,1,60000,,4,,3,1,2,2,2,2,1,2,3,2,210000,1,1,2,233850,14500,02,290000,,,3,4,1,4,1,2,1,1,1,1,,1,1,2,3,35,3,2,1,0,475000,0,0,0,525000,0,14000,0,0,5000,775000,0,12500,0,2106500,2106500,300000,0,0,0,0,0,87500,0,87500,2019000,2019000,28/06/2021
00005,454.9928,11,,,,,,5,2,2,430000,,2,1,2,2,2,5,,,96,,,,2,,1,31000,,4,,4,1,2,2,2,2,1,2,2,2,50000,2,1,3,138500,11000,02,170000,,,2,2,1,2,2,2,2,2,1,1,7750,6,1,6,1,35,3,1,1,0,1350000,0,0,0,1200000,600,80000,3000,0,47500,1500000,0,39000,0,4220100,4220100,0,0,0,0,140000,0,0,0,140000,4080100,4080100,28/06/2021
00006,2935.6096,04,,,,,2,9,,2,320000,4,1,2,1,1,2,1,,1,02,3,5,2021,2,2,1,92500,,4,2,3,1,2,2,1,2,1,2,1,1,40000,2,1,4,120150,55000,02,100000,1850,1,3,3,2,3,1,2,1,2,2,2,,1,1,1,2,24,2,6,1,250,390000,20000,14500,2900,34000,0,7000,0,2400,15000,0,0,16500,3100,491150,485650,0,280000,22000,600,28000,0,0,0,330600,160550,155050,28/06/2021
00007,919.6381,13,,,,,,6,,1,220000,,2,1,2,2,2,9,,,96,,,,2,,1,50000,,4,,,2,2,1,2,2,1,2,3,2,,2,3,2,120675,9000,06,160000,,,2,1,2,1,2,2,2,2,1,1,33000,6,3,6,1,48,4,1,2,0,475000,140000,145000,525000,0,0,4000,0,0,50000,0,1150000,39000,90000,2473000,2478000,0,0,0,0,0,0,0,0,0,2473000,2478000,28/06/2021
00008,1056.5265,14,,,,,,5,,1,,,2,1,2,2,2,9,,,96,,,,2,,1,13500,,4,,,2,2,1,1,2,1,2,2,2,,2,1,4,36775,19000,06,23000,,,1,1,2,,9,9,9,9,9,1,,6,3,6,0,13,1,1,2,325,220000,44000,43000,0,0,0,1550,0,0,20000,0,0,5250,950,292075,291075,0,0,0,0,0,1850,0,0,1850,290225,289225,28/06/2021
00009,940.3977,07,,,,,,7,,2,775000,,1,2,2,2,2,3,,,96,,,,2,,1,21000,,4,,5,1,2,2,2,2,1,2,3,2,500000,1,1,4,226875,1200,02,370000,,,1,3,1,2,1,2,2,1,2,1,,1,1,2,1,35,3,2,2,0,1500000,0,0,0,525000,0,75000,0,34000,5250,0,125000,10500,57500,2332255,2332255,5,0,0,0,0,0,0,0,0,2332255,2332255,28/06/2021
00010,214.3565,11,,,,,,4,1,2,77500,,1,1,2,2,2,2,,,96,,,,2,,1,31000,,4,,2,1,2,1,2,2,1,2,3,2,100000,2,1,4,82075,20000,06,80000,,,1,2,2,2,2,2,2,1,1,1,190000,6,3,6,1,48,4,1,1,0,450000,600000,600000,400000,300000,0,7750,0,0,39000,95000,0,47000,10000,1948750,1948750,0,0,0,0,0,40000,0,0,40000,1908750,1908750,28/06/2021
00011,1491.5636,09,,,,,,,1,1,,,,,,,,,,,96,,,,,,1,140000,,3,,,2,2,2,2,2,1,1,3,2,,2,2,2,160625,13000,02,195000,,,3,4,2,3,2,2,1,1,2,3,10500,1,1,1,2,48,4,2,1,0,0,130000,115000,0,0,0,18500,0,0,5000,90000,0,55000,0,298500,283500,0,0,0,150000,0,1850,34000,24000,209850,88650,73650,28/06/2021
00012,1174.9443,06,,,,550,2,7,,2,370000,6,2,1,2,2,2,6,,1,02,3,3,2022,2,2,1,25000,,4,,5,1,2,2,1,2,1,2,1,2,39000,1,1,3,182750,16500,02,205000,800,2,2,3,2,4,1,2,1,1,2,2,,1,1,1,2,35,3,6,1,0,460000,725000,600000,0,120000,0,18500,0,5250,10000,0,0,80000,0,1418755,1293755,5,100000,0,0,0,0,0,77500,177500,1241255,1116255,28/06/2021
00013,1672.7111,09,,,,,2,6,,2,340000,6,2,1,2,2,2,9,,1,03,3,5,2024,2,2,1,40000,,4,,4,1,2,2,2,2,1,1,3,2,30000,2,1,2,57525,250,02,82500,800,2,2,2,2,2,2,2,2,1,2,2,,1,1,1,2,35,3,2,2,0,1550000,500000,500000,0,250000,0,3000,0,0,5000,0,100000,15000,50,2423050,2423050,0,370000,0,0,0,0,0,0,370000,2053050,2053050,28/06/2021
00014,634.8357999999999,08,,,,,,6,,2,,,,,,,,,,,96,,,,2,,2,,2,,,,2,2,2,2,2,1,2,1,2,,2,3,1,39150,5000,02,38000,,,4,2,1,2,2,2,2,1,2,1,700,1,1,1,2,12,1,2,1,0,16500,0,0,0,525,0,225,0,0,1050,0,0,2400,0,20700,20700,0,0,0,0,0,400,0,0,400,20300,20300,28/06/2021
00015,2969.2807,09,,,,,,4,,2,77500,,1,2,2,2,2,3,,,96,,,,2,,1,20000,,4,,4,1,2,2,2,2,1,2,3,2,57500,2,1,3,126675,975,02,150000,,,2,4,1,2,2,2,1,1,2,1,80000,1,2,1,2,35,3,2,2,0,290000,775000,850000,0,95000,0,7750,27000,0,9500,0,0,46000,62500,1312750,1387750,0,0,6000,950,10500,0,0,34000,51450,1261300,1336300,28/06/2021
00016,521.8,11,,,,,,3,,2,90000,,2,1,2,2,2,8,,,96,,,,2,,1,50000,,4,,,2,2,2,2,2,1,2,3,2,,1,1,3,277525,10000,02,430000,,,2,2,1,2,2,2,2,2,1,1,210000,1,1,2,2,35,3,2,1,0,340000,0,0,0,1650000,0,10000,2000000,0,50000,0,0,38000,175000,4723000,4723000,460000,0,0,0,0,0,0,0,0,4723000,4723000,28/06/2021
00017,671.6546,12,,,,,,,,2,,,,,,,,,,,96,,,,,,2,,1,,,,2,2,,,,2,,3,2,,2,1,1,18850,18500,04,350,,,4,2,3,2,2,2,2,2,1,3,,6,6,6,0,48,4,6,2,0,0,60000,57500,0,0,0,10000,0,0,1050,0,0,0,0,71050,68550,0,0,0,0,0,0,0,0,0,71050,68550,28/06/2021
00018,954.6999,05,,,,,,7,,2,170000,,1,2,2,2,2,9,1,,96,,,,2,,1,15500,,4,2,5,1,2,2,2,2,1,2,3,1,24000,1,1,4,103350,5000,02,150000,,,1,9,1,2,9,9,9,9,9,1,,1,1,2,1,24,2,6,2,0,280000,0,0,0,95000,0,1050,0,3400,9500,260000,50000,0,40000,8738950,8738950,8000000,0,0,0,0,0,0,0,0,8738950,8738950,28/06/2021
00019,1328.0825,13,,,,,,8,1,2,330000,,1,2,2,2,2,5,,,96,,,,2,,1,9500,,4,,,2,2,1,2,2,1,2,1,2,,1,2,2,211400,11500,05,240000,,,2,1,2,1,2,2,2,2,1,1,290000,6,3,6,0,35,3,1,1,0,430000,0,0,950000,0,0,1200000,0,0,10000,410000,2000000,23000,110000,5133005,5133005,5,0,0,0,0,0,0,0,0,5133005,5133005,28/06/2021
00020,1625.4342,09,,,,,2,10,,2,155000,7,1,2,2,2,2,1,,1,07,1,5,2024,2,2,1,9000,,3,,,2,2,,,,2,,1,2,,1,1,2,29775,1100,02,29000,800,1,2,2,3,2,2,2,2,1,2,2,,1,1,2,2,48,4,2,1,0,150000,0,0,0,0,0,1450,0,0,950,0,0,20000,0,267400,267400,95000,20,0,875,0,0,0,1400,2295,265105,265105,28/06/2021
00021,1205.5504,11,,,,,,5,,2,,,,,,,,,,,96,,,,1,,1,20000,,4,,5,1,2,2,2,2,1,1,3,2,5250,2,1,4,76750,16000,06,67500,,,2,2,2,2,2,2,2,1,1,1,460000,6,3,6,1,59,5,1,1,0,850000,480000,500000,0,1000000,0,120000,0,0,85000,0,0,35000,57500,2627500,2647500,0,0,0,0,0,0,0,0,0,2627500,2647500,28/06/2021
00022,299.7207,05,,,,,,,,2,,,,,,,,,,,96,,,,,,1,26000,,2,,3,1,2,2,2,2,1,1,1,2,10500,2,1,2,131325,2900,02,165000,,,3,3,2,3,1,2,1,2,2,3,,1,1,1,2,47,4,6,1,5000,0,1750,1650,0,39000,0,250,0,0,19000,0,0,90000,0,155000,154900,0,0,0,9000,9750,0,0,145000,163750,-8750,-8850,28/06/2021
