pwdprmor,pwdstcrd,pwdsloan,pwarppg,pwarrspl,pwarrif,pwaotpen,pwatfs,pefatinc,pweight,pagemieg,peducmie,total_retirement_assets,retirement_preparedness,has_mortage,has_cc,has_student,retirement_preparedness_log
280000,0,0,23000,310000,0,0,0,126650,4415.0772,6,3,333000,2.629293328069483,1,0,0,1.5324042275224852
0,0,0,0,1000000,0,0,60000,171200,1393.1613,12,2,1060000,6.191588785046729,0,0,0,2.1031078698993833
0,0,0,0,525000,0,0,0,233850,216.7353,11,2,525000,2.2450288646568315,0,0,0,1.445748619423781
0,0,0,0,1200000,0,0,0,138500,454.9928,11,3,1200000,8.664259927797834,0,0,0,2.3668979569039865
0,0,0,140000,0,525000,0,90000,120675,919.6381,13,2,755000,6.256474000414336,0,0,0,2.1109976199320366
0,0,0,44000,0,0,325,950,36775,1056.5265,14,4,45275,1.2311352821210062,0,0,0,1.172833556012572
0,0,0,0,525000,0,0,57500,226875,940.3977,7,4,582500,2.5674931129476586,0,0,0,1.5189645014303896
0,0,0,600000,300000,400000,0,10000,82075,214.3565,11,4,1310000,15.961011270179714,0,0,0,2.8882033680917645
0,150000,0,130000,0,0,0,0,160625,1491.5636,9,2,130000,0.8093385214007782,0,1,0,1.0329490539976063
100000,0,0,725000,120000,0,0,0,182750,1174.9443,6,3,845000,4.623803009575924,1,0,0,1.8906696777482253
370000,0,0,500000,250000,0,0,50,57525,1672.7111,9,2,750050,13.038678835289005,1,0,0,2.710625471264899
0,950,6000,775000,95000,0,0,62500,126675,2969.2807,9,3,932500,7.361357805407539,0,1,1,2.23659034464893
0,0,0,0,1650000,0,0,175000,277525,521.8,11,3,1825000,6.575984145572471,0,0,0,2.148965755629497
0,0,0,60000,0,0,0,0,18850,671.6546,12,1,60000,3.183023872679045,0,0,0,1.6453886451547173
0,0,0,0,0,950000,0,110000,211400,1328.0825,13,2,1060000,5.014191106906338,0,0,0,1.94793539784044
0,0,36000,15500,13000,0,0,0,9700,1906.2459,7,4,28500,2.9381443298969074,0,0,1,1.5969896189075325
25000,4000,0,625000,29000,0,0,0,114675,577.8064,7,3,654000,5.703073904512753,1,1,0,2.041619457575454
41000,0,0,82500,47000,0,0,0,44150,1761.4705,9,2,129500,2.933182332955832,1,0,0,1.595984283448891
55000,0,0,90000,200000,87500,0,1750,67900,2824.0936,10,1,379250,5.585419734904271,1,0,0,2.026227948765052
240000,24000,42000,460000,0,0,0,0,91950,184.8351,6,4,460000,5.002718868950517,1,1,1,1.9462984834938077
0,0,0,120000,0,77500,325,0,37175,1106.1072,14,1,197825,5.321452589105582,0,0,0,1.990808749421025
470000,0,0,460000,26000,0,0,0,137250,760.3831,7,3,486000,3.540983606557377,1,0,0,1.7121720313097075
0,5250,0,370000,0,9500,0,8750,40700,855.0683,14,1,388250,9.539312039312039,0,1,0,2.445759643991975
260000,0,0,625000,62500,0,0,46000,145850,585.4679,7,3,733500,5.0291395269112105,1,0,0,1.9500642981761858
0,0,0,0,30000,0,0,5250,104850,613.0028,10,2,35250,0.3361945636623748,0,0,0,0.8485233507366549
0,0,0,650000,200000,155000,0,60000,90400,369.1064,12,3,1065000,11.780973451327434,0,0,0,2.6232889054219144
0,0,0,370000,24000,25000,13500,16500,77325,1377.9817,12,2,449000,5.806660200452635,0,0,0,2.054977241207263
0,0,0,300000,7750,0,0,18000,66750,747.8198,6,4,325750,4.880149812734082,0,0,0,1.928640426814876
0,3500,0,925000,950,0,0,20000,98100,2063.1375,8,2,945950,9.642711518858308,0,1,0,2.4546803635305614
110000,6250,0,16000,390000,0,0,5000,118200,2397.5994,8,2,411000,3.4771573604060912,1,1,0,1.700586236520146
0,0,0,370000,430000,0,0,19500,72250,750.0947,13,4,819500,11.342560553633218,0,0,0,2.590958967618004
120000,2000,0,525000,105000,0,0,15500,122375,1229.545,9,3,645500,5.274770173646578,1,1,0,1.9844122213072126
230000,0,0,0,14500,0,0,1000,43650,3642.0766,7,2,15500,0.3550973654066438,1,0,0,0.8565820707354536
0,0,0,0,0,95000,0,19000,25975,4314.2599,13,1,114000,4.3888354186718,0,0,0,1.8545520011806924
350000,0,0,0,210000,0,0,60000,36825,1254.2558,9,3,270000,7.3319755600814664,1,0,0,2.2334467352189202
0,0,0,290000,825000,0,0,31000,316750,1922.401,9,4,1146000,3.617995264404104,0,0,0,1.725974885748999
0,0,0,210000,40000,0,0,105000,155875,1670.6338,8,4,355000,2.277465918203689,0,0,0,1.453360759061923
350000,2100,0,27000,0,0,0,5,95550,1977.3465,6,3,27005,0.2826268969126112,1,1,0,0.8253269275221621
87500,22000,0,160000,0,0,0,0,74150,596.1173,7,9,160000,2.157788267026298,1,1,0,1.4249832663081636
195000,0,0,0,87500,0,0,0,97725,941.6527,7,3,87500,0.8953696597595293,1,0,0,1.0631127919095142
290000,0,0,240000,230000,0,0,0,102925,886.3469,10,4,470000,4.56643186786495,1,0,0,1.8819705902738684
20000,0,0,0,0,0,0,6250,24000,1792.3095,13,1,6250,0.2604166666666667,1,0,0,0.8155491620726233
270000,0,0,0,16000,0,0,77500,77375,877.5938,6,2,93500,1.2084006462035541,1,0,0,1.1657725719205216
0,0,0,40000,180000,170000,0,0,28025,1030.9989,11,4,390000,13.916146297948261,0,0,0,2.767334084401569
0,0,0,105000,19000,0,0,20000,57600,2010.1191,10,3,144000,2.5,0,0,0,1.5040773967762742
190000,0,0,0,470000,0,0,115000,117825,1262.9084,11,2,585000,4.964990451941438,1,0,0,1.9408962363681501
20000,8000,0,0,20000,0,0,0,47350,368.005,9,3,20000,0.42238648363252373,1,1,0,0.8847532045032378
